Index,Chinese gloss,English gloss,Standard Zhuang,Donglan Datong,Dahua Yantan,Dahua Liushui,Modern Thai,Modern Thai Phonetics,Swadesh List,动物,植物,人称代词,亲属,动词,形容词,数字,量词,疑问代词,身体部位
86,孩子,child*,,,lɯk³⁴,lɯk²³ ŋɛ²³¹,เด็ก,dek,True,,,,,,,,,,
87,丈夫,husband*,,,kwaːn⁴²,kwaːn⁴²,สามี,sami,True,,,,True,,,,,,
88,妻子,wife*,,,pa²³¹,pa²³¹,ภรรยา,phaya,True,,,,True,,,,,,
89,我,"I, me*",,,kou⁴²,ku⁴²,ฉัน,chan,True,,,True,,,,,,,
90,你,you*,,,mɯŋ²³¹,mɯŋ²³¹,คุณ,khun,True,,,True,,,,,,,
91,他/她,he/she*,,,tɛ⁴²,tɛ⁴²,เขา,khao,True,,,True,,,,,,,
92,我们（不包括听话人）,we (excl.)*,,,tou⁴²,tu⁴²,พวกเรา(ไม่รวมคุณ),phuakrao(mairuamkhun),,,,True,,,,,,,
93,你们,you (pl.)*,,,θou⁴²,θu⁴²,พวกคุณ,phuakkhun,True,,,True,,,,,,,
94,他们/她们,they*,,,pɔŋ⁴² tɛ⁴²,cjɔŋ⁴⁴ tɛ⁴²,พวกเขา,phuakkhao,True,,,True,,,,,,,
95,这里,here*,,,ki²² nei²⁴,ki²² ni³⁴⁴,ที่นี่,thini,True,,,,,,,,,,
96,那里,there*,,,ki²² tɛ⁴²,ki²³ tɛ⁴²,ที่นั่น,thinan,True,,,,,,,,,,
97,这（个）,this*,,,ʔɐn⁴² nei²⁴,ʔdɜn⁴² ni³⁴⁴,นี้,ni,True,,,,,,,,,,
98,那（个）,that*,,,ʔɜn⁴² tɛ⁴²,ʔdɜn⁴² tɛ⁴²,นั้น,nan,True,,,,,,,,,,
99,一,one*,,,ʔdɛːu⁴²,ʔdɛːu⁴²,หนึ่ง,nueng,True,,,,,,,True,,,
100,二,two*,,,θɔəŋ⁴²,θɔɜŋ⁴²,สอง,song,True,,,,,,,True,,,
101,三,three*,,,θaːm⁴²,θaːm⁴²,สาม,sam,True,,,,,,,True,,,
102,四,four*,,,θei⁴⁴,θi⁴⁴,สี่,si,True,,,,,,,True,,,
103,五,five*,,,ha⁴⁵³,ha⁵⁵³,ห้า,ha,True,,,,,,,True,,,
104,许多,many*,,,laːi⁴²,laːi⁴²,มาก,mak,True,,,,,,True,,,,
105,少,few*,,,θiːu⁴⁵³,θiːu⁵⁵³,น้อย,noi,True,,,,,,True,,,,
106,全部,all*,,,tu⁴⁴,tu⁴²,ทั้งหมด,thangmt,True,,,,,,True,,,,
107,一些,some*,,,ti⁴⁴ ʔdɛːu⁴²,ti⁴⁴,บาง,bang,True,,,,,,,,,,
108,大,"big, large*",,,laːu²⁴,laːu³⁴⁴,ใหญ่,ain,True,,,,,,True,,,,
109,小,small*,,,ʔei⁴⁴,ȵi⁴⁴,เล็ก,lek,True,,,,,,True,,,,
110,长,long*,,,ɹɜi²³¹,ɹɜi²³¹,ยาว,yao,True,,,,,,True,,,,
111,短,short*,,,kɐn⁴⁴,tɪn⁵⁵³,สั้น,san,True,,,,,,True,,,,
112,宽,wide*,,,kwaːŋ⁴⁴,kwaːŋ⁴⁴,กว้าง,kwang,True,,,,,,True,,,,
113,窄,narrow*,,,kɐp³⁴,kɐp²³,แคบ,khaep,True,,,,,,True,,,,
114,厚,thick*,,,na⁴²,na⁴²,หนา,na,True,,,,,,True,,,,
115,薄,thin*,,,ʔbaːŋ⁴²,ʔbaːŋ⁴²,บาง,bang,True,,,,,,True,,,,
116,重,heavy*,,,nɐk⁵⁵,nak⁵⁵,หนัก,nak,True,,,,,,True,,,,
117,轻,light,,,ʔbɐu⁴²,ʔbɐu⁴²,เบา,bao,,,,,,,True,,,,
118,红,red*,,,hɔŋ²³¹,hɔŋ²³¹,แดง,daeng,True,,,,,,True,,,,
119,绿,green*,,,lɔk³⁴,lɔk²³,เขียว,khiao,True,,,,,,True,,,,
120,黄,yellow*,,,hɛːn⁴⁵³,hɛːn⁵⁵³,เหลือง,elueng,True,,,,,,True,,,,
121,白,white*,,,haːu⁴²,haːu⁴²,ขาว,khao,True,,,,,,True,,,,
122,黑,black*,,,nɐm⁴²,ʔdɔɜŋ⁴⁴,ดำ,dam,True,,,,,,True,,,,
123,热（天气）,hot (weather)*,,,ʔdaːt⁴⁴,ʔdaːt⁵⁵,ร้อน,ron,,,,,,,True,,,,
124,冷（天气）,cold (weather)*,,,nɪt⁵⁵,nɪt⁵⁵,หนาว,nao,True,,,,,,True,,,,
125,新,new*,,,mɔ⁴⁴,mɔ⁴⁴,ใหม่,aim,True,,,,,,True,,,,
126,旧,old (object)*,,,kɐu⁴⁴,kɐu⁴⁴,เก่า,kao,True,,,,,,True,,,,
127,好,good*,,,ʔdei⁴²,ʔdi⁴²,ดี,di,True,,,,,,True,,,,
128,坏,"bad, ruined*",,,waːi³¹,ȵaːu⁴⁴,เสีย,sia,True,,,,,,True,,,,
129,腐烂（果子）,rotten (fruit)*,,,nɐu³¹,joŋ⁵⁵³,เน่า,nao,True,,,,,,True,,,,
130,脏（衣服）,dirty*,,,cjuɔk⁴⁴,cjuɔk⁵⁵,สกปรก,sakaprok,True,,,,,,True,,,,
131,直,straight*,,,θɔ³¹,θɔ²⁴,ตรง,trong,True,,,,,,True,,,,
132,圆,round*,,,ʔduən⁴²,ʔduən⁴²,กลม,klom,True,,,,,,True,,,,
133,满,full*,,,ɹɪm⁴²,jɪm⁴²,เต็ม,tem,True,,,,,,True,,,,
134,锋利,sharp*,,,ɹɜi³¹,ɹɜi²⁴,คม,khom,True,,,,,,True,,,,
135,钝,blunt*,,,mɐt⁵⁵,mot⁵⁵,ทื่อ,thue,True,,,,,,True,,,,
136,滑,"slippery, smooth*",,,ʔwɪn⁴⁵³,ʔɯən⁵⁵³,ลื่น,luen,True,,,,,,True,,,,
137,湿,wet*,,,ʔbɜi⁴⁴,tʊm²³¹,เปียก,piak,True,,,,,,True,,,,
138,干（衣服）,dry*,,,ɹɔ⁴²,ɹɔ⁴²,แห้ง,aeng,True,,,,,,True,,,,
139,对（对了）,"right, correct*",,,toːi⁴⁴,toːi⁴⁴,ถูก,thuk,True,,,,,,True,,,,
140,近,near*,,,cjəɯ⁴⁵³,cjəɯ⁵⁵³,ใกล้,kain,True,,,,,,True,,,,
141,远,far*,,,cjei⁴²,cjei⁴²,ไกล,klai,True,,,,,,True,,,,
142,右（边）,right*,,,kwa²³¹,kwa²³¹,ขวา,khwa,True,,,,,,True,,,,
143,左（边）,left*,,,θɯːi²⁴,θɯei³⁴⁴,ซ้าย,sai,True,,,,,,True,,,,
144,饿,hungry*,,,ʔjɯːk⁴⁴,ʔjɯːk⁵⁵,หิว,hio,,,,,,,True,,,,
145,喝（酒）,to drink*,,,ʔdɐt⁵⁵,ʔdot⁵⁵,ดื่ม,duem,True,,,,,True,,,,,
146,吃,to eat*,,,kɯn⁴²,kɯn⁴²,กิน,kin,True,,,,,True,,,,,
147,咬,to bite*,,,hɐp³⁴,hɐp²³,กัด,kat,True,,,,,True,,,,,
148,吸（吮吸）,to breathe in*,,,θʊp⁵⁵,ɕʊp⁵⁵,สูด,sut,,,,,,True,,,,,
149,呼（放气）,to breathe out*,,,ɕoəŋ⁴⁴,ɕɯən⁴²,ผ่อนลม,phonlom,,,,,,True,,,,,
150,吐痰,to spit*,,,pi⁴²,pi⁴²,ถ่ม,thom,True,,,,,True,,,,,
151,呕吐,to vomit*,,,ɹuɔk²¹,ɹuɔk²⁴,อาเจียน,achian,True,,,,,True,,,,,
152,吹（火）,to blow*,,,pɔ⁴⁴,pɔ⁴⁴,เป่า,pao,True,,,,,True,,,,,
153,笑（大笑）,to laugh*,,,jiːu⁴²,jiːu⁴²,หัวเราะ,uaro,True,,,,,True,,,,,
154,看,"to look, see*",,,ʔdɔːm⁴⁴ jiːu⁴⁴,ʔdɔɜm⁴³³ ʔdɔːm³³,ดู,du,True,,,,,True,,,,,
155,听,to hear*,,,tɪŋ⁴⁴,tɪŋ⁴⁴,ได้ยิน,dain,True,,,,,True,,,,,
156,知道,to know*,,,ɹɔ²⁴,ɹɔ³⁴⁴,รู้,ru,True,,,,,True,,,,,
157,想,to think*,,,θɯəŋ⁴⁵³,θɯəŋ⁵⁵³,คิด,khit,True,,,,,True,,,,,
158,闻,to smell*,,,ʔdʊm⁴²,mʊp⁵⁵,ดม,dom,True,,,,,True,,,,,
159,怕,to fear*,,,laːu⁴²,laːu⁴²,กลัว,klua,True,,,,,True,,,,,
160,睡觉,to sleep*,,,nən²³¹,nən²³¹,นอน,non,True,,,,,True,,,,,
161,活,to live*,,,lei²⁴,li³⁴⁴,มีชีวิต,michiwit,True,,,,,True,,,,,
162,死,to die*,,,taːi⁴²,taːi⁴²,ตาย,tai,True,,,,,True,,,,,
163,杀,to kill*,,,ka⁴⁵³,ka⁵⁵³,ฆ่า,kha,True,,,,,True,,,,,
164,打架,to quarrel*,,,tɔ²¹ ta⁴⁵³,ta⁵⁵³ tɔ²¹,ทะเลาะ,thalo,,,,,,True,,,,,
165,打猎,to hunt,,,tɯk⁵⁵ ȵɜn⁴²,tɯk⁵⁵ ȵɜn⁴²,ล่า,la,True,,,,,True,,,,,
166,打（用拳）,to hit*,,,"mɐp³⁴, tʊp³⁴",tʊp²³,ตี,ti,True,,,,,True,,,,,
167,切（肉）,"to cut, slice*",,,ɹɔən⁴⁴,ɹɔən⁴⁴,หั่น,an,True,,,,,True,,,,,
168,劈开,"to split, chop*",,,paːk²¹,paːk²⁴,ผ่า,pha,True,,,,,True,,,,,
169,扎,"to stab, prick*",,,θɐk⁵⁵,ʔbɔɜŋ⁴⁴,แทง,thaeng,True,,,,,True,,,,,
170,抓（痒）（搔）,to scratch*,,,kɐu⁴²,kɐu⁴²,เกา,kao,True,,,,,True,,,,,
171,挖,to dig*,,,waːt⁴⁴,ʔwaːt⁵⁵,ขุด,khut,True,,,,,True,,,,,
172,游泳,to swim*,,,hou²³¹ ju²³¹,ju²³¹,ว่ายน้ำ,wainam,True,,,,,True,,,,,
173,飞,to fly*,,,ʔbɪn⁴²,ʔbɪn⁴²,บิน,bin,True,,,,,True,,,,,
174,走,"to walk, go*",,,paːi⁴⁵³,pjaːi⁵⁵³,เดิน,doen,True,,,,,True,,,,,
175,来,to come*,,,tɐu⁴⁵³,tɐu⁵⁵³,มา,ma,True,,,,,True,,,,,
176,躺,to lie*,,,nən²³¹,nən²³¹,นอนราบ,nonrap,True,,,,,True,,,,,
177,坐,to sit*,,,nɐŋ³¹,naŋ²⁴,นั่ง,nang,True,,,,,True,,,,,
178,站,to stand*,,,θɔŋ²³¹,ʔdɯn⁴²,ยืน,yuen,True,,,,,True,,,,,
179,等,to wait*,,,"tɛ⁴⁴, ɕa²³¹",ɕa⁵⁵³,รอ,ro,,,,,,True,,,,,
180,转,to turn (a corner)*,,,ɕɪən⁴⁴,ɕien⁴⁴,เลี้ยว,liao,True,,,,,True,,,,,
181,掉,to drop*,,,tɔk⁵⁵,tɔk⁵⁵,ตก,tok,True,,,,,True,,,,,
182,给,to give*,,,həɯ⁴⁵³,həɯ⁵⁵³,ให้,hai,True,,,,,True,,,,,
183,拿,"to take, hold*",,,təɯ²³¹,tɯ²³¹,ถือ,thue,True,,,,,True,,,,,
184,榨（油）,to squeeze (oil)*,,,naːp⁴⁴,naːp⁵⁵,คั้นน้ำมัน,khannamman,True,,,,,True,,,,,
185,榨（蔗）,to squeeze (juice)*,,,kaːu⁴²,kaːu⁵⁵³,คั้นน้ำอ้อย,khannamoi,True,,,,,True,,,,,
186,擦,wipe*,,,"ɕaːt⁵⁵, ʔuət⁵⁵",ɕaːt⁴³,เช็ด,chet,True,,,,,True,,,,,
187,洗（手，菜）,to wash (hands)*,,,θɯːi⁴⁴,θɯei⁴⁴,ล้าง,lang,True,,,,,True,,,,,
188,洗（衣服）,to wash (clothes),,,θɐk³⁴,θak²³,ซัก,sak,True,,,,,True,,,,,
189,拉（过来）,"to pull, drag*",,,ɹaːk²¹ pɛːŋ⁴⁴,peaŋ⁴³³,ลาก,lak,True,,,,,True,,,,,
190,推,to push*,,,ŋɜi²⁴,"toːi⁴², kɜi³⁴⁴",ผลัก,phlak,True,,,,,True,,,,,
191,投,to throw*,,,vɪt⁵⁵,wɪt⁵⁵,โยน,yon,True,,,,,True,,,,,
192,系,to tie*,,,ɕʊk³⁴,ɕʊk²³,ผูก,phuk,True,,,,,True,,,,,
193,说，讲,to speak*,,,kaːŋ⁴⁵³,kaːŋ⁵⁵³,พูด,phut,True,,,,,True,,,,,
194,唱,to sing*,,,ɕɯəŋ⁴⁴,ɕɯəŋ⁴⁴,ร้องเพลง,rongphenng,True,,,,,True,,,,,
195,玩,to play*,,,lou²³¹ ɕɐm²³¹,"lou²³¹, ku²¹ ɕɐm²³¹",เล่น,len,True,,,,,True,,,,,
196,浮,to float*,,,fou²³¹,fu²³¹,ลอย,loi,True,,,,,True,,,,,
197,流,to flow*,,,ɹou²³¹,ɹiu²³¹,ไหล,lai,True,,,,,True,,,,,
198,肿,to swell*,,,fɔk³⁴,fɔk²³,บวม,buam,True,,,,,True,,,,,
199,烧,to burn*,,,pɐu⁴²,ɕɔp²³,ไหม้,mai,True,,,,,True,,,,,
200,在,at*,,,jɯ⁴⁴,jɯ⁴⁴,ที่,thi,True,,,,,,,,,,
201,里,in*,,,ʔdəɯ⁴²,ʔdəɯ⁴²,ใน,nai,True,,,,,,,,,,
202,外,out*,,,ɹɔɜk²¹,ɹɔɜk²⁴,นอก,nok,,,,,,,,,,,
203,不,"no, not*",,,ʔbou⁴⁴,ʔdɯei⁴²,ไม่,mai,True,,,,,,,,,,
204,和,and*,,,haːp²¹,hɔɜp²⁴,และ,lae,True,,,,,,,,,,
205,跟,with*,,,ɹɯəŋ²³¹,tɛːm⁴²,กับ,kap,True,,,,,,,,,,
206,如果,if*,,,ji²¹ kɔ⁴²,ji²² kɔ⁴²,ถ้า,tha,True,,,,,,,,,,
207,什么,what*,,,tu²¹ ma²³¹,tu²¹ ma²³¹,อะไร,arai,True,,,,,,,,,True,
208,什么时候,when?*,,,pən⁴² ɹəɯ²³¹,θi²³ ɹəɯ²³¹,เมื่อไร,muearai,True,,,,,,,,,True,
209,谁,who*,,,pu²¹ ɹəɯ²³¹,pu²¹ ɹəɯ²³¹,ใคร,khain,True,,,,,,,,,True,
210,哪里,where?,,,ki²¹ ɹəɯ²³¹,ki²¹ ɹəɯ²³¹,ที่ไหน,thinai,True,,,,,,,,,True,
211,怎么,how?*,,,tɐŋ⁴² ɹəɯ²³¹,ku²¹ ɹəɯ²³¹,อย่างไร,yangrai,True,,,,,,,,,True,
212,名字,name*,,,mɪŋ³³ ɕɔ³¹,mɪŋ²³ ɕɔ²⁴,ชื่อ,chue,True,,,,,,,,,,
213,打雷,to thunder,,,pa⁴⁵³ lɜi²³¹,pja⁵⁵ ɹɜi²³¹,ฟ้าร้อง,farong,,,,,,True,,,,,
214,打闪,to lightning,,,ta⁴⁴ lʊəm⁴²,pja⁵⁵ pjɛːn⁴²,ฟ้าแลบ,falaep,,,,,,True,,,,,
215,彩虹,rainbow,,,toŋ²³¹,toŋ²³¹,รุ้งกินน้ำ,rungkinnam,,,,,,,,,,,
216,冰雹,hail,,,lɯk³⁴ paːk²¹,lɯk²³ paːk²⁴,ลูกเห็บ,lukhep,,,,,,,,,,,
217,阳光,sunlight,,,ʔdɪt⁵⁵ ʔdaːt⁴⁴,ʔdɪt⁵⁵ ʔdaːt⁵⁵,แสงแดด,saengdaet,,,,,,,,,,,
218,影子（人）,shadow,,,ɹɐm³¹ ŋɐu²³¹,ŋɐu²³¹ ðɐm²¹,เงา,ngao,,,,,,,,,,,
219,早,early,,,ɹɔːm³¹,ɹɔːm²⁴,เช้า,chao,,,,,,,,,,,
220,早晨,morning,,,hɐt⁵⁵,hɐt⁵⁵,ตอนเช้า,tonchao,,,,,,,,,,,
221,中午,noon,,,cjɐŋ⁴² ŋɔn²³¹,cɕɜŋ⁵³ ŋɔn²³¹,เที่ยง,thiang,,,,,,,,,,,
222,晚上,evening,,,hɐm³¹ cjaːŋ⁴²,hɐm²⁴ cɕɜŋ⁵³,ตอนเย็น,tonyen,,,,,,,,,,,
223,日子,day,,,ŋɔn²³¹,ŋɔn²³¹,วัน,wan,True,,,,,,,,,,
224,昨天,yesterday,,,ŋɔn²³ lɯən²³¹,ŋɔn²³ lɯən²³¹,เมื่อวาน,mueawan,,,,,,,,,,,
225,明天,tomorrow,,,ŋɔn²³ cjɔɜk³¹,ŋɔn²³ ɕɔɜk²⁴,พรุ่งนี้,phrungni,,,,,,,,,,,
226,泥巴,mud,,,nɜi²³¹ pɔŋ²³¹,pɔŋ²³¹,โคลน,khonn,,,,,,,,,,,
227,石灰,lime,,,hoːi⁴²,hoːi⁴²,ปูนขาว,punkhao,,,,,,,,,,,
228,山洞,cave,,,kaːm⁴⁵³,kaːm⁵⁵³,ถ้ำ,tham,,,,,,,,,,,
229,泉水,spring,,,ʔbɔ⁴⁴,ʔbɔ⁴⁴,น้ำพุ,namphu,,,,,,,,,,,
230,棉花,cotton,,,waːi⁴⁴,waːi⁴⁴,ฝ้าย,fai,,,True,,,,,,,,
231,木棉树,kapok tree,,,fɜi²⁴ lɛːu²⁴,fɜi³² ɹɛːu³⁴⁴,ต้นงิ้ว,tonngio,,,True,,,,,,,,
232,树枝,branch,,,"ki⁴⁴, ŋa⁴², ŋei⁴⁴",këi⁴³³,กิ่งไม้,kingmai,,,True,,,,,,,,
233,刺,thorn,,,ʔɔn⁴²,ʔɔn⁴²,หนาม,nam,,,True,,,,,,,,
234,柑子,mandarin orange,,,kaːm⁴²,kaːm⁴²,ส้มแมนดาริน,sommaendarin,,,True,,,,,,,,
235,木瓜,papaya,,,mɔk³⁴ kwa⁴²,mɔk²³ kwa⁴²,มะละกอ,malako,,,True,,,,,,,,
236,香蕉,banana,,,cjoːi⁴⁵³,cjoːi⁵⁵³,กล้วย,kluai,,,True,,,,,,,,
237,甘蔗,sugarcane,,,ʔoːi⁴⁵³,ʔoːi⁵⁵³,อ้อย,oi,,,True,,,,,,,,
238,树菇,tree mushroom,,,ɹɐt⁵⁵,ɹɐt⁵⁵,เห็ดไม้,etmai,,,,,,,,,,,
239,茄子,aubergine,,,cjɛ³¹,kɯ²³¹,มะเขือยาว,makhueayao,,,True,,,,,,,,
240,芥菜,mustard,,,pɐk⁵⁵ kaːt⁴⁴,pjak⁵⁵ kaːt⁵⁵,ผักกาดเขียว,phakkatkhiao,,,True,,,,,,,,
241,竹笋,bamboo shoot,,,ɹaːŋ²³¹,ɹaːŋ²³¹,หน่อไม้,nomai,,,True,,,,,,,,
242,花生,peanut,,,tu³¹ naːm³¹,tu²⁴ naːm²⁴,ถั่วลิสง,thualitng,,,True,,,,,,,,
243,豆,bean,,,tu³¹,tu²⁴,ถั่ว,thua,,,True,,,,,,,,
244,猪,pig,,,mou⁴²,mu⁴²,หมู,mu,,True,,,,,,,,,
245,羊,goat,,,joəŋ²³¹,juɔŋ²³¹,แพะ,phae,,True,,,,,,,,,
246,马,horse,,,ma²⁴,ma³⁴⁴,ม้า,ma,,True,,,,,,,,,
247,牛（黄牛）,ox,,,ɕɯ²³¹,ɕɯ²³¹,วัว,wua,,True,,,,,,,,,
248,老虎,tiger,,,kʊk⁵⁵,kʊk⁵⁵,เสือ,suea,,True,,,,,,,,,
249,鹿,deer,,,lɔk³⁴ ma³²,lɔk²³,กวาง,kwang,,True,,,,,,,,,
250,猴子,monkey,,,kɐŋ⁴²,kaŋ⁴²,ลิง,ling,,True,,,,,,,,,
251,乌龟,turtle,,,hu⁴⁵³,hu⁵⁵³,เต่า,tao,,True,,,,,,,,,
252,兔子,rabbit,,,tu²⁴,ȵɔk²³,กระต่าย,kratai,,True,,,,,,,,,
253,老鼠,rat,,,nou⁴²,nu⁴²,หนู,nu,,True,,,,,,,,,
254,大象,elephant,,,ɕaːŋ²⁴,ɕɯəŋ²⁴,ช้าง,chang,,True,,,,,,,,,
255,鸭子,duck,,,pɪt⁵⁵,pɪt⁵⁵,เป็ด,pet,,True,,,,,,,,,
256,鸟窝,bird's nest,,,ɹɔəŋ²³¹,ɹɔŋ²³¹,รังนก,rangnk,,,,,,,,,,,
257,猫,cat,,,mɛːu⁴⁴,mɛːu²³¹,แมว,maeo,,True,,,,,,,,,
258,爪子,claw,,,ȵaːu⁴⁵³,ȵaːu⁵⁵³,กรงเล็บ,kranglep,,,,,,,,,,,True
259,蜻蛙,frog,,,kɔp⁵⁵,kɔp⁵⁵,กบ,kop,,True,,,,,,,,,
260,蜥蜴,lizard,,,koŋ⁴⁴ cja⁴⁴,ɕɛm²² cjɛːm⁴⁴,กิ้งก่า,kingka,,True,,,,,,,,,
261,虫,"insect, bug",,,nɔən⁴²,nɔən²³¹,แมลง,maenng,,True,,,,,,,,,
262,蚊子,mosquito,,,ȵoŋ²³¹,ȵoŋ²³¹,ยุง,yung,,True,,,,,,,,,
263,苍蝇,fly,,,ȵɛːŋ²³ ȵɜn⁴²,nɛːŋ²³¹,แมลงวัน,maenngwan,,True,,,,,,,,,
264,蜜蜂,honeybee,,,ɹuːi⁴²,ɹɯei⁴²,ผึ้ง,phueng,,True,,,,,,,,,
265,蝴蝶,butterfly,,,ʔba⁴⁵³,ʔba⁵⁵³,ผีเสื้อ,phisuea,,True,,,,,,,,,
266,蚂蚁,ant,,,mɐt³⁴,mot²³,มด,mot,,True,,,,,,,,,
267,蜘蛛,spider,,,cjaːu⁴²,cjaːu⁴²,แมงมุม,maengmum,,True,,,,,,,,,
268,跳蚤,flea,,,mɐt⁵⁵,mɐt⁵⁵,หมัด,mat,,True,,,,,,,,,
269,白蚁,termite,,,mɐt³⁴ cjʊk⁵⁵,mot²³ cjʊk⁵⁵,ปลวก,pluak,,True,,,,,,,,,
270,蚯蚓,earthworm,,,taːŋ³¹ ʔdɯən⁴²,ŋɯ²⁴,ไส้เดือน,saiduean,,True,,,,,,,,,
271,蚂蟥,leech,,,pɪŋ⁴²,pɪŋ⁴²,ปลิง,pling,,True,,,,,,,,,
272,螺蛳,snail,,,θɜi⁴²,θɜi⁴²,หอยทาก,hoithak,,True,,,,,,,,,
273,鬼,ghost,,,faːŋ²³¹,faːŋ²³¹,ผี,phi,,,,,,,,,,,
274,身体,body,,,ʔdaːŋ⁴²,ʔdaːŋ⁴²,ร่างกาย,rangkai,,,,,,,,,,,True
275,额头,forehead,,,ȵɐk³⁴ ɕɪn²³¹,na³³ pjaːk⁵⁵,หน้าผาก,naphak,,,,,,,,,,,True
276,脸,face,,,na⁴⁵³,na⁵⁵³,หน้า,na,,,,,,,,,,,True
277,齿龈,gums,,,hɯk⁵⁵ hɛːu⁴⁵³,hɯk⁵⁵,เหงือก,enguek,,,,,,,,,,,True
278,下巴,chin,,,haːŋ²³ kaːu⁴⁴,haːŋ²³¹,คาง,khang,,,,,,,,,,,True
279,胡子,beard,,,mɔm³¹,mɔm²⁴,เครา,khera,,,,,,,,,,,True
280,腋下,armpit,,,la⁴⁵³ ʔei⁴⁴,la⁴⁴ ʔi⁴⁴,รักแร้,rakrae,,,,,,,,,,,True
281,肘,elbow,,,kɛːn⁴² ɕɯːk²¹,kɛːn⁴² ɕuɔk²⁴,ข้อศอก,khosok,,,,,,,,,,,True
282,手掌,palm,,,wa⁴²fɯŋ²³¹,ʔaːi⁴² fɯŋ²³¹,ฝ่ามือ,famue,,,,,,,,,,,True
283,手指,finger,,,lɯk³⁴ fɯŋ²³¹,lɯk²³ fɯŋ²³¹,นิ้วมือ,niomue,,,,,,,,,,,True
284,脚跟,heel,,,tɪn⁴² cjiːu⁴⁵³,tɪn⁴² cjiːu⁵⁵³,ส้นเท้า,sanathao,,,,,,,,,,,True
285,肺脏,lungs,,,pʊt⁵⁵,pʊt⁵⁵,ปอด,pot,,,,,,,,,,,True
286,脑子,brain,,,ʔʊk⁵⁵,ʔʊk⁵⁵,สมอง,samong,,,,,,,,,,,True
287,肚脐,navel,,,θei⁴⁴ ʔdɯ⁴²,θɜi⁴⁴ ʔdɯ⁴²,สะดือ,sadue,,,,,,,,,,,True
288,屁股,buttocks,,,kɔm⁴⁴,ɕak²³ kʊm⁴⁴,ก้น,kon,,,,,,,,,,,True
289,肠子,intestines,,,θɜi⁴⁵³,θɜi⁵⁵³,ลำไส้,lamsai,True,,,,,,,,,,True
290,汗,sweat,,,haːn³¹,haːn²⁴,เหงื่อ,engue,,,,,,,,,,,
291,口水,saliva,,,maːi²³¹,naːi²³¹,น้ำลาย,namlai,,,,,,,,,,,
292,脓,pus,,,nɔɜŋ⁴²,nɔɜŋ⁴²,หนอง,nong,,,,,,,,,,,
293,粪（做肥料）,manure,,,pʊn³¹,pʊn²⁴,ปุ๋ยคอก,puikhok,,,,,,,,,,,
294,屎（牛屎）,excrement,,,hɜi²⁴,hɜi²⁴,อุจจาระ,utchara,,,,,,,,,,,
295,尿,urine,,,ȵou³¹,ȵu²⁴,ปัสสาวะ,patsao,,,,,,,,,,,
296,病,ill,,,pɪŋ³¹,pɪŋ²⁴,ป่วย,puai,,,,,,,True,,,,
297,咳嗽,cough,,,ŋaːp²¹,ʔɜi⁴²,ไอ,ai,,,,,,,,,,,
298,药,medicine,,,jɯ⁴²,jɯ⁴²,ยา,ya,,,,,,,,,,,
299,痒,itch,,,hʊm²³¹,hʊm²³¹,คัน,khan,,,,,,,True,,,,
300,瞎,blind,,,mɛːŋ²³¹,mɛːŋ²³¹,ตาบอด,tabot,,,,,,,True,,,,
301,聋,deaf,,,nʊk⁵⁵,nʊk⁵⁵,หูหนวก,unuak,,,,,,,True,,,,
302,蒜,garlic,,,hɔ³¹,hɔ⁴²,กระเทียม,krathiam,,,True,,,,,,,,
303,姜,ginger,,,hɪŋ⁴²,hɪŋ⁴²,ขิง,khing,,,True,,,,,,,,
304,糖,sugar,,,tɯəŋ²³¹,tɯəŋ²³¹,น้ำตาล,namtan,,,,,,,,,,,
305,饭,(cooked) rice,,,ŋaːi²³¹,ŋaːi²³¹,ข้าวสวย,khaosuai,,,True,,,,,,,,
306,糯米,glutinous rice,,,hɐu²⁴ ɕɪt³⁴,hɐu³² naŋ⁴²,ข้าวเหนียว,khaoheni,,,True,,,,,,,,
307,肥肉,fat (meat),,,nɔ³¹ pei³¹,nɔ²⁴ pi²³¹,มันหมู,manmu,,,,,,,,,,,
308,酒,"spirits, alcohol",,,lɐu⁴⁵³,lɐu⁵⁵³,เหล้า,ela,,,,,,,,,,,
309,炭,charcoal,,,taːn⁴⁴,taːn⁴⁴,ถ่าน,than,,,,,,,,,,,
310,柴火,firewood,,,fʊn²³¹,fʊn²³¹,ฟืน,fuen,,,,,,,,,,,
311,火柴,matches,,,haːp²¹ fei²³¹,haːp²⁴ fi²³¹,ไม้ขีดไฟ,makhaitfai,,,,,,,,,,,
312,铁,iron,,,tiət⁴⁴,tiət⁵⁵,เหล็ก,elk,,,,,,,,,,,
313,金子,gold,,,cjɪm⁴²,kɪm⁴²,ทอง,thong,,,,,,,,,,,
314,银子,silver,,,ŋɐn²³¹,ŋɐn²³¹,เงิน,ngoen,,,,,,,,,,,
315,藤子,rattan,,,kɐu⁴²,kɐu⁴²,หวาย,wai,,,True,,,,,,,,
316,板（木板）,board,,,pɛːn³¹,pɛːn²⁴,แผ่นไม้,phaenmai,,,,,,,,,,,
317,锅（炒菜锅）,wok,,,ɕaːu⁴⁴,ɕaːu⁴⁴,กระทะ,kratha,,,,,,,,,,,
318,舀子,ladle,,,ɹɔk⁵⁵ ʔwaːt²¹,ɹɔɜk⁵⁵ waːt²⁴,กระบวย,krabuai,,,,,,,,,,,
