Index,Chinese gloss,English gloss,Standard Zhuang,Donglan Datong,Dahua Yantan,Dahua Liushui,Modern Thai,Modern Thai Phonetics,Swadesh List,动物,植物,人称代词,亲属,动词,形容词,数字,量词,疑问代词,身体部位
426,苦,bitter,,,hɐm²³¹,hɐm²³¹,ขม,khom,,,,,,,True,,,,
427,生（肉）,raw (meat),,,ʔdɪp⁵⁵,ʔdɪp⁵⁵,ดิบ,dip,,,,,,,True,,,,
428,熟,ripe,,,ɕʊk³⁴,ɕʊk²³,สุก,suk,,,,,,,True,,,,
429,恶心（想吐）,nauseating,,,ʔbʊk³⁴ ʔbɯən⁴²,ʔbɔk²³ ʔbɯən⁴²,คลื่นไส้,khluensai,,,,,,,True,,,,
430,饱,"full, satiated",,,ʔɪm⁴⁴,ʔɪm⁴⁴,อิ่ม,im,True,,,,,,True,,,,
431,嚼,to chew (back teeth),,,ȵaːi⁴⁵³,ȵaːi⁵⁵³,เคี้ยว,khiao,,,,,,True,,,,,
432,舔,to lick,,,ɹi²³¹,ɹi²³¹,เลีย,lia,,,,,,True,,,,,
433,咽,to swallow (bit by bit),,,ʔdɯn⁴⁵³,ʔdɯn⁵⁵³,กลืน,kluen,,,,,,True,,,,,
434,亲嘴,to kiss,,,ɕʊp⁵⁵,ɕʊp⁵⁵,จูบ,chup,,,,,,True,,,,,
435,打哈欠,to yawn,,,ha⁴⁴ ɹʊm²³¹,ha⁴⁴ ɹʊm²³¹,หาว,hao,,,,,,True,,,,,
436,打鼾,to snore,,,cjɐn⁴²,ɕɯən⁴²,กรน,kron,,,,,,True,,,,,
437,打喷嚏,to sneeze,,,ʔɐk⁵⁵ θui⁴²,hat⁵⁵ ɕuːi⁴²,จาม,cham,,,,,,True,,,,,
438,喊,to shout (not at others),,,"hɛːu³¹, hɛːm⁴⁴",hɛːm⁴⁴,ตะโกน,takon,,,,,,True,,,,,
439,骂,to scold,,,"vɛət⁴⁴ ʔda⁴⁴, wɛːt⁵⁵",ʋeat⁴³,ด่า,da,,,,,,True,,,,,
440,哭,to cry,,,tɜi⁴⁵³,tɛ⁵⁵³,ร้องไห้,ronghai,,,,,,True,,,,,
441,告诉,to tell,,,lən³¹,lɯn²⁴,บอก,bok,,,,,,True,,,,,
